id,card_name,characters,card_number,spell_type,race,card_text,illustrator_id,deck_name,fc2wiki_link
0001,『①《宵闇の妖怪》ルーミア』,ルーミア,①,攻撃スペル,妖怪,"条件：この札が守護札。
効果：自分の自機札を他の自分の自機エリアに配置する。",01,紅魔郷デッキ,https://touhouikangetsu.wiki.fc2.com/wiki/%E3%80%8E%E2%91%A0%E3%80%8A%E5%AE%B5%E9%97%87%E3%81%AE%E5%A6%96%E6%80%AA%E3%80%8B%E3%83%AB%E3%83%BC%E3%83%9F%E3%82%A2%E3%80%8F
0002,『②《ルーネイトエルフ》大妖精』,大妖精,②,スペルなし,妖精,,01,紅魔郷デッキ,https://touhouikangetsu.wiki.fc2.com/wiki/%E3%80%8E%E2%91%A1%E3%80%8A%E3%83%AB%E3%83%BC%E3%83%8D%E3%82%A4%E3%83%88%E3%82%A8%E3%83%AB%E3%83%95%E3%80%8B%E5%A4%A7%E5%A6%96%E7%B2%BE%E3%80%8F
0003,『③《湖上の氷精》チルノ』,チルノ,③,回避スペル,妖精,"条件：自分の自機札が⑩以上。
効果：自分の捨て札にある②以下のスペルなし妖精札を1枚選択し、手札に加える。",01,紅魔郷デッキ,https://touhouikangetsu.wiki.fc2.com/wiki/%E3%80%8E%E2%91%A2%E3%80%8A%E6%B9%96%E4%B8%8A%E3%81%AE%E6%B0%B7%E7%B2%BE%E3%80%8B%E3%83%81%E3%83%AB%E3%83%8E%E3%80%8F
0004,『④《華人小娘》紅美鈴』,紅美鈴,④,回避スペル,妖怪,"条件：自分の自機札が④以下。
効果：この札を⑥として扱う。",01,紅魔郷デッキ,https://touhouikangetsu.wiki.fc2.com/wiki/%E3%80%8E%E2%91%A3%E3%80%8A%E8%8F%AF%E4%BA%BA%E5%B0%8F%E5%A8%98%E3%80%8B%E7%B4%85%E7%BE%8E%E9%88%B4%E3%80%8F
0005,『⑤《ヴワル魔法図書館》小悪魔』,小悪魔,⑤,スペルなし,悪魔,,01,紅魔郷デッキ,https://touhouikangetsu.wiki.fc2.com/wiki/%E3%80%8E%E2%91%A4%E3%80%8A%E3%83%B4%E3%83%AF%E3%83%AB%E9%AD%94%E6%B3%95%E5%9B%B3%E6%9B%B8%E9%A4%A8%E3%80%8B%E5%B0%8F%E6%82%AA%E9%AD%94%E3%80%8F
0006,『⑥《知識と日陰の少女》パチュリー・ノーレッジ』,パチュリー・ノーレッジ,⑥,攻撃スペル,魔術師,"代償：この札を①として扱う。
効果：相手札を撃破した場合、自分の捨て札にある⑤以下のスペルなし札を１枚選択し、手札に加える。",01,紅魔郷デッキ,https://touhouikangetsu.wiki.fc2.com/wiki/%E3%80%8E%E2%91%A5%E3%80%8A%E7%9F%A5%E8%AD%98%E3%81%A8%E6%97%A5%E9%99%B0%E3%81%AE%E5%B0%91%E5%A5%B3%E3%80%8B%E3%83%91%E3%83%81%E3%83%A5%E3%83%AA%E3%83%BC%E3%83%BB%E3%83%8E%E3%83%BC%E3%83%AC%E3%83%83%E3%82%B8%E3%80%8F
0007,『⑦《月時計～ルナ・ダイアル》十六夜咲夜』,十六夜咲夜,⑦,攻撃スペル,人間,"代償：自分の裏向き札を１枚選択し、表向きにする。
効果：相手札を撃破した場合、相手の裏向き札を１枚選択し、表向きにする。",01,紅魔郷デッキ,https://touhouikangetsu.wiki.fc2.com/wiki/%E3%80%8E%E2%91%A6%E3%80%8A%E6%9C%88%E6%99%82%E8%A8%88%EF%BD%9E%E3%83%AB%E3%83%8A%E3%83%BB%E3%83%80%E3%82%A4%E3%82%A2%E3%83%AB%E3%80%8B%E5%8D%81%E5%85%AD%E5%A4%9C%E5%92%B2%E5%A4%9C%E3%80%8F
0008,『⑧《永遠に紅い幼き月》レミリア・スカーレット』,レミリア・スカーレット,⑧,回避スペル,悪魔,"条件：⑥以下の攻撃を受ける。
効果：相手の自機エリアを１ヶ所選択し、相手の自機札を選択したエリアに配置する。",01,紅魔郷デッキ,https://touhouikangetsu.wiki.fc2.com/wiki/%E3%80%8E%E2%91%A7%E3%80%8A%E6%B0%B8%E9%81%A0%E3%81%AB%E7%B4%85%E3%81%84%E5%B9%BC%E3%81%8D%E6%9C%88%E3%80%8B%E3%83%AC%E3%83%9F%E3%83%AA%E3%82%A2%E3%83%BB%E3%82%B9%E3%82%AB%E3%83%BC%E3%83%AC%E3%83%83%E3%83%88%E3%80%8F
0009,『⑨《悪魔の妹》フランドール・スカーレット』,フランドール・スカーレット,⑨,攻撃スペル,悪魔,"代償：自分の手札にある人間札を１枚選択し、捨て札に送る。
効果：この札の数値を⑩にする。この札は弾幕攻撃を行える。",01,紅魔郷デッキ,https://touhouikangetsu.wiki.fc2.com/wiki/%E3%80%8E%E2%91%A8%E3%80%8A%E6%82%AA%E9%AD%94%E3%81%AE%E5%A6%B9%E3%80%8B%E3%83%95%E3%83%A9%E3%83%B3%E3%83%89%E3%83%BC%E3%83%AB%E3%83%BB%E3%82%B9%E3%82%AB%E3%83%BC%E3%83%AC%E3%83%83%E3%83%88%E3%80%8F
0010,『⑩《東洋の西洋魔術師》霧雨魔理沙』,霧雨魔理沙,⑩,攻撃スペル,魔術師,"条件：自分の手札が０枚。
効果：自分の守護エリアの札を表裏を変えないまま、好きな位置に変更する。",01,紅魔郷デッキ,https://touhouikangetsu.wiki.fc2.com/wiki/%E3%80%8E%E2%91%A9%E3%80%8A%E6%9D%B1%E6%B4%8B%E3%81%AE%E8%A5%BF%E6%B4%8B%E9%AD%94%E8%A1%93%E5%B8%AB%E3%80%8B%E9%9C%A7%E9%9B%A8%E9%AD%94%E7%90%86%E6%B2%99%E3%80%8F
